Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet
1976-10-01 00:00;1976-11-01 00:00;okt-76;6.2;Y
1976-11-01 00:00;1976-12-01 00:00;nov-76;2.9;Y
1976-12-01 00:00;1977-01-01 00:00;dec-76;-2.0;Y
1977-01-01 00:00;1977-02-01 00:00;jan-77;-1.5;Y
1977-02-01 00:00;1977-03-01 00:00;feb-77;-4.2;Y
1977-03-01 00:00;1977-04-01 00:00;mar-77;1.3;Y
1977-04-01 00:00;1977-05-01 00:00;apr-77;3.2;Y
1977-05-01 00:00;1977-06-01 00:00;maj-77;10.2;Y
1977-06-01 00:00;1977-07-01 00:00;jun-77;15.1;Y
1977-07-01 00:00;1977-08-01 00:00;jul-77;14.5;Y
1977-08-01 00:00;1977-09-01 00:00;aug-77;15.2;Y
1977-09-01 00:00;1977-10-01 00:00;sep-77;10.3;Y
1977-10-01 00:00;1977-11-01 00:00;okt-77;8.3;Y
1977-11-01 00:00;1977-12-01 00:00;nov-77;3.8;Y
1977-12-01 00:00;1978-01-01 00:00;dec-77;0.5;Y
1978-01-01 00:00;1978-02-01 00:00;jan-78;-0.8;Y
1978-02-01 00:00;1978-03-01 00:00;feb-78;-5.4;Y
1978-03-01 00:00;1978-04-01 00:00;mar-78;-0.7;Y
1978-04-01 00:00;1978-05-01 00:00;apr-78;3.5;Y
1978-05-01 00:00;1978-06-01 00:00;maj-78;10.2;Y
1978-06-01 00:00;1978-07-01 00:00;jun-78;15.7;Y
1978-07-01 00:00;1978-08-01 00:00;jul-78;15.8;Y
1978-08-01 00:00;1978-09-01 00:00;aug-78;15.7;Y
1978-09-01 00:00;1978-10-01 00:00;sep-78;10.1;Y
1978-10-01 00:00;1978-11-01 00:00;okt-78;7.0;Y
1978-11-01 00:00;1978-12-01 00:00;nov-78;5.3;Y
1978-12-01 00:00;1979-01-01 00:00;dec-78;-5.4;Y
1979-01-01 00:00;1979-02-01 00:00;jan-79;-6.3;Y
1979-02-01 00:00;1979-03-01 00:00;feb-79;-5.4;Y
1979-03-01 00:00;1979-04-01 00:00;mar-79;-0.2;Y
1979-04-01 00:00;1979-05-01 00:00;apr-79;3.7;Y
1979-05-01 00:00;1979-06-01 00:00;maj-79;11.1;Y
1979-06-01 00:00;1979-07-01 00:00;jun-79;17.5;Y
1979-07-01 00:00;1979-08-01 00:00;jul-79;15.1;Y
1979-08-01 00:00;1979-09-01 00:00;aug-79;16.2;Y
1979-09-01 00:00;1979-10-01 00:00;sep-79;11.8;Y
1979-10-01 00:00;1979-11-01 00:00;okt-79;5.8;Y
1979-11-01 00:00;1979-12-01 00:00;nov-79;3.3;Y
1979-12-01 00:00;1980-01-01 00:00;dec-79;-1.1;Y
1980-01-01 00:00;1980-02-01 00:00;jan-80;-4.0;Y
1980-02-01 00:00;1980-03-01 00:00;feb-80;-5.4;Y
1980-03-01 00:00;1980-04-01 00:00;mar-80;-2.2;Y
1980-04-01 00:00;1980-05-01 00:00;apr-80;5.7;Y
1980-05-01 00:00;1980-06-01 00:00;maj-80;9.0;Y
1980-06-01 00:00;1980-07-01 00:00;jun-80;16.7;Y
1980-07-01 00:00;1980-08-01 00:00;jul-80;17.8;Y
1980-08-01 00:00;1980-09-01 00:00;aug-80;15.3;Y
1980-09-01 00:00;1980-10-01 00:00;sep-80;13.2;Y
1980-10-01 00:00;1980-11-01 00:00;okt-80;6.0;Y
1980-11-01 00:00;1980-12-01 00:00;nov-80;0.4;Y
1980-12-01 00:00;1981-01-01 00:00;dec-80;-0.2;Y
1981-01-01 00:00;1981-02-01 00:00;jan-81;-3.2;Y
1981-02-01 00:00;1981-03-01 00:00;feb-81;-1.9;Y
1981-03-01 00:00;1981-04-01 00:00;mar-81;-1.3;Y
1981-04-01 00:00;1981-05-01 00:00;apr-81;4.8;Y
1981-05-01 00:00;1981-06-01 00:00;maj-81;12.1;Y
1981-06-01 00:00;1981-07-01 00:00;jun-81;13.8;Y
1981-07-01 00:00;1981-08-01 00:00;jul-81;17.4;Y
1981-08-01 00:00;1981-09-01 00:00;aug-81;15.4;Y
1981-09-01 00:00;1981-10-01 00:00;sep-81;12.1;Y
1981-10-01 00:00;1981-11-01 00:00;okt-81;6.8;Y
1981-11-01 00:00;1981-12-01 00:00;nov-81;1.6;Y
1981-12-01 00:00;1982-01-01 00:00;dec-81;-5.1;Y
1982-01-01 00:00;1982-02-01 00:00;jan-82;-6.5;Y
1982-02-01 00:00;1982-03-01 00:00;feb-82;-3.2;Y
1982-03-01 00:00;1982-04-01 00:00;mar-82;2.0;Y
1982-04-01 00:00;1982-05-01 00:00;apr-82;5.0;Y
1982-05-01 00:00;1982-06-01 00:00;maj-82;10.6;Y
1982-06-01 00:00;1982-07-01 00:00;jun-82;13.6;Y
1982-07-01 00:00;1982-08-01 00:00;jul-82;18.4;Y
1982-08-01 00:00;1982-09-01 00:00;aug-82;17.7;Y
1982-09-01 00:00;1982-10-01 00:00;sep-82;12.7;Y
1982-10-01 00:00;1982-11-01 00:00;okt-82;7.8;Y
1982-11-01 00:00;1982-12-01 00:00;nov-82;5.0;Y
1982-12-01 00:00;1983-01-01 00:00;dec-82;0.9;Y
1983-01-01 00:00;1983-02-01 00:00;jan-83;1.4;Y
1983-02-01 00:00;1983-03-01 00:00;feb-83;-3.0;Y
1983-03-01 00:00;1983-04-01 00:00;mar-83;0.8;Y
1983-04-01 00:00;1983-05-01 00:00;apr-83;4.9;Y
1983-05-01 00:00;1983-06-01 00:00;maj-83;11.5;Y
