Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet
1973-12-01 00:00;1974-01-01 00:00;dec-73;0.8;Y
1974-01-01 00:00;1974-02-01 00:00;jan-74;2.5;Y
1974-02-01 00:00;1974-03-01 00:00;feb-74;2.8;Y
1974-03-01 00:00;1974-04-01 00:00;mar-74;4.2;Y
1974-04-01 00:00;1974-05-01 00:00;apr-74;8.4;Y
1974-05-01 00:00;1974-06-01 00:00;maj-74;11.6;Y
1974-06-01 00:00;1974-07-01 00:00;jun-74;15.4;Y
1974-07-01 00:00;1974-08-01 00:00;jul-74;15.5;Y
1974-08-01 00:00;1974-09-01 00:00;aug-74;16.2;Y
1974-09-01 00:00;1974-10-01 00:00;sep-74;13.8;Y
1974-10-01 00:00;1974-11-01 00:00;okt-74;6.5;Y
1974-11-01 00:00;1974-12-01 00:00;nov-74;5.0;Y
1974-12-01 00:00;1975-01-01 00:00;dec-74;4.2;Y
1975-01-01 00:00;1975-02-01 00:00;jan-75;4.4;Y
1975-02-01 00:00;1975-03-01 00:00;feb-75;1.5;Y
1975-03-01 00:00;1975-04-01 00:00;mar-75;2.8;Y
1975-04-01 00:00;1975-05-01 00:00;apr-75;5.5;Y
1975-05-01 00:00;1975-06-01 00:00;maj-75;12.3;Y
1975-06-01 00:00;1975-07-01 00:00;jun-75;15.2;Y
1975-07-01 00:00;1975-08-01 00:00;jul-75;17.7;Y
1975-08-01 00:00;1975-09-01 00:00;aug-75;19.6;Y
1975-09-01 00:00;1975-10-01 00:00;sep-75;14.3;Y
1975-10-01 00:00;1975-11-01 00:00;okt-75;9.2;Y
1975-11-01 00:00;1975-12-01 00:00;nov-75;4.7;Y
1975-12-01 00:00;1976-01-01 00:00;dec-75;4.6;Y
1976-01-01 00:00;1976-02-01 00:00;jan-76;-1.1;Y
1976-02-01 00:00;1976-03-01 00:00;feb-76;0.1;Y
1976-03-01 00:00;1976-04-01 00:00;mar-76;-0.8;Y
1976-04-01 00:00;1976-05-01 00:00;apr-76;5.7;Y
1976-05-01 00:00;1976-06-01 00:00;maj-76;11.9;Y
1976-06-01 00:00;1976-07-01 00:00;jun-76;15.3;Y
1976-07-01 00:00;1976-08-01 00:00;jul-76;18.7;Y
1976-08-01 00:00;1976-09-01 00:00;aug-76;18.0;Y
1976-09-01 00:00;1976-10-01 00:00;sep-76;11.9;Y
1983-04-01 00:00;1983-05-01 00:00;apr-83;6.9;Y
1983-05-01 00:00;1983-06-01 00:00;maj-83;11.5;Y
1983-06-01 00:00;1983-07-01 00:00;jun-83;15.1;Y
1983-07-01 00:00;1983-08-01 00:00;jul-83;18.3;Y
1983-08-01 00:00;1983-09-01 00:00;aug-83;17.1;Y
1983-09-01 00:00;1983-10-01 00:00;sep-83;13.1;Y
1983-10-01 00:00;1983-11-01 00:00;okt-83;9.2;Y
1983-11-01 00:00;1983-12-01 00:00;nov-83;3.3;Y
1983-12-01 00:00;1984-01-01 00:00;dec-83;1.3;Y
1984-01-01 00:00;1984-02-01 00:00;jan-84;-0.6;Y
1984-02-01 00:00;1984-03-01 00:00;feb-84;-0.1;Y
1984-03-01 00:00;1984-04-01 00:00;mar-84;0.3;Y
1984-04-01 00:00;1984-05-01 00:00;apr-84;6.3;Y
1984-05-01 00:00;1984-06-01 00:00;maj-84;13.1;Y
1984-06-01 00:00;1984-07-01 00:00;jun-84;15.1;Y
1984-07-01 00:00;1984-08-01 00:00;jul-84;17.1;Y
1984-08-01 00:00;1984-09-01 00:00;aug-84;17.4;Y
1984-09-01 00:00;1984-10-01 00:00;sep-84;11.1;Y
1984-10-01 00:00;1984-11-01 00:00;okt-84;10.8;Y
1984-11-01 00:00;1984-12-01 00:00;nov-84;5.8;Y
1984-12-01 00:00;1985-01-01 00:00;dec-84;2.6;Y
1985-01-01 00:00;1985-02-01 00:00;jan-85;-6.7;Y
1985-02-01 00:00;1985-03-01 00:00;feb-85;-6.9;Y
1985-03-01 00:00;1985-04-01 00:00;mar-85;1.2;Y
1985-04-01 00:00;1985-05-01 00:00;apr-85;3.9;Y
1985-05-01 00:00;1985-06-01 00:00;maj-85;12.4;Y
1985-06-01 00:00;1985-07-01 00:00;jun-85;14.2;Y
1985-07-01 00:00;1985-08-01 00:00;jul-85;16.7;Y
1985-08-01 00:00;1985-09-01 00:00;aug-85;16.0;Y
1985-09-01 00:00;1985-10-01 00:00;sep-85;11.2;Y
1985-10-01 00:00;1985-11-01 00:00;okt-85;10.0;Y
1985-11-01 00:00;1985-12-01 00:00;nov-85;1.2;Y
1985-12-01 00:00;1986-01-01 00:00;dec-85;0.1;Y
1986-01-01 00:00;1986-02-01 00:00;jan-86;-3.1;Y
1986-02-01 00:00;1986-03-01 00:00;feb-86;-6.1;Y
1986-03-01 00:00;1986-04-01 00:00;mar-86;1.8;Y
1986-04-01 00:00;1986-05-01 00:00;apr-86;4.0;Y
1986-06-01 00:00;1986-07-01 00:00;jun-86;15.9;Y
1986-07-01 00:00;1986-08-01 00:00;jul-86;16.6;Y
1986-08-01 00:00;1986-09-01 00:00;aug-86;14.8;Y
1986-09-01 00:00;1986-10-01 00:00;sep-86;10.2;Y
1986-10-01 00:00;1986-11-01 00:00;okt-86;8.9;Y
1986-11-01 00:00;1986-12-01 00:00;nov-86;6.8;Y
1986-12-01 00:00;1987-01-01 00:00;dec-86;1.1;Y
1987-01-01 00:00;1987-02-01 00:00;jan-87;-7.9;Y
1987-02-01 00:00;1987-03-01 00:00;feb-87;-1.0;Y
1987-03-01 00:00;1987-04-01 00:00;mar-87;-2.0;Y
1987-04-01 00:00;1987-05-01 00:00;apr-87;6.4;Y
1987-05-01 00:00;1987-06-01 00:00;maj-87;9.6;Y
1987-06-01 00:00;1987-07-01 00:00;jun-87;12.2;Y
1987-07-01 00:00;1987-08-01 00:00;jul-87;15.8;Y
1987-08-01 00:00;1987-09-01 00:00;aug-87;14.1;Y
1987-09-01 00:00;1987-10-01 00:00;sep-87;11.9;Y
1987-10-01 00:00;1987-11-01 00:00;okt-87;9.3;Y
1987-11-01 00:00;1987-12-01 00:00;nov-87;4.0;Y
1987-12-01 00:00;1988-01-01 00:00;dec-87;2.3;Y
1988-01-01 00:00;1988-02-01 00:00;jan-88;3.1;Y
1988-02-01 00:00;1988-03-01 00:00;feb-88;1.5;Y
1988-03-01 00:00;1988-04-01 00:00;mar-88;0.5;Y
1988-04-01 00:00;1988-05-01 00:00;apr-88;5.1;Y
1988-05-01 00:00;1988-06-01 00:00;maj-88;13.4;Y
1988-06-01 00:00;1988-07-01 00:00;jun-88;18.0;Y
1988-08-01 00:00;1988-09-01 00:00;aug-88;16.1;Y
1988-09-01 00:00;1988-10-01 00:00;sep-88;13.8;Y
1988-10-01 00:00;1988-11-01 00:00;okt-88;7.7;Y
1988-11-01 00:00;1988-12-01 00:00;nov-88;2.4;Y
1988-12-01 00:00;1989-01-01 00:00;dec-88;2.5;Y
1989-01-01 00:00;1989-02-01 00:00;jan-89;5.6;Y
1989-02-01 00:00;1989-03-01 00:00;feb-89;5.1;Y
1989-03-01 00:00;1989-04-01 00:00;mar-89;5.7;Y
1989-04-01 00:00;1989-05-01 00:00;apr-89;6.9;Y
1989-05-01 00:00;1989-06-01 00:00;maj-89;12.0;Y
1989-06-01 00:00;1989-07-01 00:00;jun-89;16.1;Y
1989-07-01 00:00;1989-08-01 00:00;jul-89;18.3;Y
1989-09-01 00:00;1989-10-01 00:00;sep-89;13.4;Y
1989-10-01 00:00;1989-11-01 00:00;okt-89;9.7;Y
1989-11-01 00:00;1989-12-01 00:00;nov-89;4.4;Y
1989-12-01 00:00;1990-01-01 00:00;dec-89;2.1;Y
1990-01-01 00:00;1990-02-01 00:00;jan-90;4.4;Y
1990-02-01 00:00;1990-03-01 00:00;feb-90;5.7;Y
1990-03-01 00:00;1990-04-01 00:00;mar-90;6.0;Y
1990-04-01 00:00;1990-05-01 00:00;apr-90;8.2;Y
1990-05-01 00:00;1990-06-01 00:00;maj-90;12.7;Y
1990-06-01 00:00;1990-07-01 00:00;jun-90;16.2;Y
1990-07-01 00:00;1990-08-01 00:00;jul-90;17.2;Y
1990-08-01 00:00;1990-09-01 00:00;aug-90;17.4;Y
1990-09-01 00:00;1990-10-01 00:00;sep-90;12.2;Y
1990-10-01 00:00;1990-11-01 00:00;okt-90;9.1;Y
1990-11-01 00:00;1990-12-01 00:00;nov-90;3.7;Y
1990-12-01 00:00;1991-01-01 00:00;dec-90;2.4;Y
1991-01-01 00:00;1991-02-01 00:00;jan-91;1.8;Y
1991-02-01 00:00;1991-03-01 00:00;feb-91;-1.8;Y
1991-03-01 00:00;1991-04-01 00:00;mar-91;4.3;Y
1991-04-01 00:00;1991-05-01 00:00;apr-91;6.9;Y
1991-05-01 00:00;1991-06-01 00:00;maj-91;10.1;Y
1991-06-01 00:00;1991-07-01 00:00;jun-91;12.3;Y
1991-07-01 00:00;1991-08-01 00:00;jul-91;19.0;Y
1991-08-01 00:00;1991-09-01 00:00;aug-91;17.7;Y
