Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet
1960-09-01 00:00;1960-10-01 00:00;sep-60;9.3;Y
1960-10-01 00:00;1960-11-01 00:00;okt-60;-2.4;Y
1960-11-01 00:00;1960-12-01 00:00;nov-60;-5.4;Y
1960-12-01 00:00;1961-01-01 00:00;dec-60;-7.3;Y
1961-01-01 00:00;1961-02-01 00:00;jan-61;-12.4;Y
1961-02-01 00:00;1961-03-01 00:00;feb-61;-4.4;Y
1961-03-01 00:00;1961-04-01 00:00;mar-61;-2.5;Y
1961-04-01 00:00;1961-05-01 00:00;apr-61;-1.0;Y
1961-05-01 00:00;1961-06-01 00:00;maj-61;5.7;Y
1961-06-01 00:00;1961-07-01 00:00;jun-61;14.3;Y
1961-07-01 00:00;1961-08-01 00:00;jul-61;16.8;Y
1961-08-01 00:00;1961-09-01 00:00;aug-61;13.8;Y
1961-09-01 00:00;1961-10-01 00:00;sep-61;9.3;Y
1961-10-01 00:00;1961-11-01 00:00;okt-61;7.4;Y
1961-11-01 00:00;1961-12-01 00:00;nov-61;0.1;Y
1961-12-01 00:00;1962-01-01 00:00;dec-61;-10.9;Y
1962-01-01 00:00;1962-02-01 00:00;jan-62;-10.1;Y
1962-02-01 00:00;1962-03-01 00:00;feb-62;-9.9;Y
1962-03-01 00:00;1962-04-01 00:00;mar-62;-14.3;Y
1962-04-01 00:00;1962-05-01 00:00;apr-62;1.5;Y
1962-05-01 00:00;1962-06-01 00:00;maj-62;5.7;Y
1962-06-01 00:00;1962-07-01 00:00;jun-62;11.3;Y
1962-07-01 00:00;1962-08-01 00:00;jul-62;14.0;Y
1962-08-01 00:00;1962-09-01 00:00;aug-62;11.7;Y
1962-09-01 00:00;1962-10-01 00:00;sep-62;7.7;Y
1962-10-01 00:00;1962-11-01 00:00;okt-62;4.7;Y
1962-11-01 00:00;1962-12-01 00:00;nov-62;-2.3;Y
1962-12-01 00:00;1963-01-01 00:00;dec-62;-10.9;Y
1963-01-01 00:00;1963-02-01 00:00;jan-63;-11.6;Y
1963-02-01 00:00;1963-03-01 00:00;feb-63;-12.7;Y
1963-03-01 00:00;1963-04-01 00:00;mar-63;-9.8;Y
1963-04-01 00:00;1963-05-01 00:00;apr-63;0.6;Y
1963-05-01 00:00;1963-06-01 00:00;maj-63;8.4;Y
1963-06-01 00:00;1963-07-01 00:00;jun-63;12.0;Y
1963-07-01 00:00;1963-08-01 00:00;jul-63;14.3;Y
1963-08-01 00:00;1963-09-01 00:00;aug-63;14.4;Y
1963-09-01 00:00;1963-10-01 00:00;sep-63;10.9;Y
1963-10-01 00:00;1963-11-01 00:00;okt-63;3.8;Y
1963-11-01 00:00;1963-12-01 00:00;nov-63;-5.2;Y
1963-12-01 00:00;1964-01-01 00:00;dec-63;-8.1;Y
1964-01-01 00:00;1964-02-01 00:00;jan-64;-4.4;Y
1964-02-01 00:00;1964-03-01 00:00;feb-64;-12.7;Y
1964-03-01 00:00;1964-04-01 00:00;mar-64;-7.6;Y
1964-04-01 00:00;1964-05-01 00:00;apr-64;-0.4;Y
1964-05-01 00:00;1964-06-01 00:00;maj-64;6.3;Y
1964-06-01 00:00;1964-07-01 00:00;jun-64;10.6;Y
1964-07-01 00:00;1964-08-01 00:00;jul-64;14.0;Y
1964-08-01 00:00;1964-09-01 00:00;aug-64;13.3;Y
1964-09-01 00:00;1964-10-01 00:00;sep-64;7.5;Y
1964-10-01 00:00;1964-11-01 00:00;okt-64;5.7;Y
1964-11-01 00:00;1964-12-01 00:00;nov-64;-2.3;Y
1964-12-01 00:00;1965-01-01 00:00;dec-64;-6.7;Y
1965-01-01 00:00;1965-02-01 00:00;jan-65;-10.2;Y
1965-02-01 00:00;1965-03-01 00:00;feb-65;-8.5;Y
1965-03-01 00:00;1965-04-01 00:00;mar-65;-6.9;Y
1965-04-01 00:00;1965-05-01 00:00;apr-65;-0.1;Y
1965-05-01 00:00;1965-06-01 00:00;maj-65;3.6;Y
1965-06-01 00:00;1965-07-01 00:00;jun-65;12.1;Y
1965-07-01 00:00;1965-08-01 00:00;jul-65;13.8;Y
1965-08-01 00:00;1965-09-01 00:00;aug-65;12.2;Y
1965-09-01 00:00;1965-10-01 00:00;sep-65;10.2;Y
1965-10-01 00:00;1965-11-01 00:00;okt-65;3.6;Y
1965-11-01 00:00;1965-12-01 00:00;nov-65;-8.0;Y
1965-12-01 00:00;1966-01-01 00:00;dec-65;-13.0;Y
1966-01-01 00:00;1966-02-01 00:00;jan-66;-18.1;Y
1966-02-01 00:00;1966-03-01 00:00;feb-66;-20.7;Y
1966-03-01 00:00;1966-04-01 00:00;mar-66;-11.8;Y
1966-04-01 00:00;1966-05-01 00:00;apr-66;-2.8;Y
1966-05-01 00:00;1966-06-01 00:00;maj-66;5.2;Y
1966-06-01 00:00;1966-07-01 00:00;jun-66;14.5;Y
1966-07-01 00:00;1966-08-01 00:00;jul-66;16.2;Y
1966-08-01 00:00;1966-09-01 00:00;aug-66;13.4;Y
1966-09-01 00:00;1966-10-01 00:00;sep-66;6.0;Y
1966-10-01 00:00;1966-11-01 00:00;okt-66;1.3;Y
1966-11-01 00:00;1966-12-01 00:00;nov-66;-1.9;Y
1966-12-01 00:00;1967-01-01 00:00;dec-66;-5.5;Y
1967-01-01 00:00;1967-02-01 00:00;jan-67;-16.5;Y
1967-02-01 00:00;1967-03-01 00:00;feb-67;-7.4;Y
1967-03-01 00:00;1967-04-01 00:00;mar-67;-2.1;Y
